评论ID,原始评论,清洗后纯评论（无地名/无新增词）,核心分词（无地名/无新增词）,核心分词字符串（无地名/无新增词）,情感分析结果,解析
4,第一次知道傩戏还是在我不是戏神,第一次知道傩戏还是在我不是戏神,"['第一次', '傩戏', '戏神']",第一次 傩戏 戏神,0,该评论仅陈述了获取知识的来源，没有表达明显的喜好或厌恶情绪，属于客观陈述，情感倾向中性。
12,爷爷好厉害！,爷爷好厉害！,"['爷爷', '好', '厉害']", 好 厉害,1,评论中使用了“好厉害”这一积极词汇，表达了对爷爷的赞美和敬佩之情，整体情感倾向明显为正面。
11,老师很厉害,老师很厉害,['厉害'],厉害,1,该评论使用了“很厉害”这一积极评价词汇，直接表达了对老师的赞赏和肯定，整体情感倾向明显为正面。
8,太好了，居然还带九玩,太好了，居然还带九玩,"['太好了', '居然']",太好了 居然,1,评论中使用了“太好了”这一强烈积极表达，并提到“带九玩”体现出对联动内容的惊喜与期待，整体情感明显为正面。
3,好好拍呀，只要是中国的，,好好拍呀，只要是中国的，,"['好好', '只要', '中国']",好好 只要 中国,1,评论中“好好拍呀”表达了鼓励和期待，“只要是中国的”体现了对本土文化的认同与支持，整体语气积极，情感倾向为正面。
2,都准备划掉了,都准备划掉了,"['准备', '划掉']",准备 划掉,0,该评论仅表达了用户准备划掉内容的动作意图，没有使用明显的情感词汇或表达态度，属于陈述事实的中性表达。
13,希望有更多国人知道我们的文化,希望有更多国人知道我们的文化,"['希望', '国人', '文化']",希望 国人 文化,1,评论表达了希望更多人了解和传播本国文化的积极愿望，体现了文化自信和自豪感，整体情感倾向为正面。
6,魈宝的面具！！！,魈宝的面具！！！,['面具'],面具,1,评论中使用了“魈宝”这一亲昵称呼和感叹号，表达了对角色面具的惊喜与喜爱，整体情感倾向为正面。
5,这就不得不提,这就不得不提,['不得不'],不得不,0,该评论仅以“这就不得不提”开头，未表达明确的情感立场，属于引出话题或承接上下文的过渡性表达，没有明显的积极或消极情绪。
7,这个系列怎么能没有魈,这个系列怎么能没有魈,['系列'],系列,-1,评论表达了对于“魈”这一角色未出现在系列中的失望和不满，使用“怎么能没有”这种反问句式加强了遗憾和批评的语气，整体情感倾向为负面。
1,竟然带我们京剧猫玩,竟然带我们京剧猫玩,"['竟然', '京剧']", 京剧猫,1,评论中“竟然带我们京剧猫玩”表达了惊喜和愉悦的情绪，使用“竟然”一词带有意外之喜的积极意味，整体上传达了对被关注或参与的正面感受。
10,好眼熟，像某个动漫人物的装造,好眼熟，像某个动漫人物的装造,"['好', '眼熟', '某个', '动漫', '人物', '装造']",好 眼熟 某个 动漫 人物 装造,0,"该评论仅指出角色造型与某动漫人物相似，使用了""好眼熟""这一中性描述词，没有表达明显的喜爱或批评情绪，属于客观观察陈述。"
9,沈滩，夭，陈伶,沈滩，夭，陈伶,"['沈滩', '陈伶']",沈滩 陈伶,0,该评论仅列举了三个名字，没有表达任何情感色彩或评价性词汇，无法判断其正面或负面倾向，因此属于中性陈述。
14,为什么我的眼里常含幸福？因为会幸福＞  。＜,为什么我的眼里常含幸福？因为会幸福 。,"['为什么', '眼里', '常含', '幸福', '因为', '会', '幸福']",为什么 眼里 常含 幸福  会 幸福,1,该评论化用诗句“为什么我的眼里常含泪水？因为我对这土地爱得深沉”，将“泪水”和“爱这土地”替换为“幸福”和“会幸福”，表达了一种积极、满足和感恩的情感，整体情感倾向为正面。
15,怎么还有河南妞的事！,怎么还有河南妞的事！,[],,-1,评论中“怎么还有河南妞的事”带有明显的排斥和不满情绪，使用“河南妞”这一称呼可能含有地域歧视或贬低意味，整体表达了对涉及河南元素的不悦与抵触。
22,曲娘也有吗,曲娘也有吗,['曲娘'],曲娘,0,该评论仅询问“曲娘也有吗”，是对联动内容的具体询问，没有表达明显的喜爱、期待或不满情绪，属于中性提问。
18,真的很美很帅呀,真的很美很帅呀,"['真的', '很美', '很帅']", 很美 很帅,1,评论中使用了“很美很帅”等积极词汇，直接表达了对人物或事物的赞美和喜爱，整体情感倾向明显为正面。
20,爷爷可以要某某吗？,爷爷可以要某某吗？,"['爷爷', '可以', '某某']",  某某,0,该评论以询问形式表达个人偏好，未使用明显情感词汇，仅表达对特定角色的兴趣，没有表现出强烈正面或负面情绪，属于中性表达。
17,老师傩面还有我们魈,老师傩面还有我们魈,['傩面'],傩面,1,评论中提及“老师傩面”和“魈”等角色，语气亲切且带有归属感（“我们魈”），表达了对这些角色的喜爱与认同，整体情感倾向为正面。
19,幸福好不好？,幸福好不好？,"['', '幸福', '好不好']",幸福 ,1,"该评论以提问形式表达对""幸福""的积极探讨，使用""好不好""的询问语气隐含对幸福的肯定态度，整体传递出温暖、向往的情感基调，属于正面情感表达。"
16,因为桃园深处有人家知道了傩戏,因为桃园深处有人家知道了傩戏,"['因为', '桃园', '深处', '人家', '傩戏']", 桃园 深处 人家 傩戏,1,评论表达了通过游戏“桃园深处有人家”了解到傩戏这一传统文化，使用了“知道了”这一中性但带有收获感的表述，隐含对游戏文化传播功能的认可和积极态度，整体情感倾向为正面。
21,!说到戏曲文化怎e么能少得了戏神呢,!说到戏曲文化怎e么能少得了戏神呢,"['戏曲', '文化', '戏神']",戏曲 文化 戏神,1,评论以感叹号开头，语气积极，通过“怎么能少得了”的反问句式强调戏神在戏曲文化中的重要性，表达了对戏曲文化的认同与推崇，整体情感倾向为正面。
28,第五个季节,第五个季节,"['第五个', '季节']",第五个 季节,0,该评论仅提及“第五个季节”，没有表达任何情感色彩或评价性词汇，属于客观陈述，无法判断正面或负面倾向，因此归类为中性。
