微博 ID,评论者昵称,评论内容,评论时间,cleaned_content,segmented_content,情感分析结果,解析
4983551530107912,我是小王不是大王,不错,Wed Dec 27 19:43:50 +0800 2023,不错,不错,1,该评论使用了“不错”这一积极评价词汇，直接表达了对内容的认可和满意，整体情感倾向明确为正面。
5174236601123233,好一个乖乖女nv,佳能打出精彩,Thu Jun 05 19:31:11 +0800 2025,佳能打出精彩,佳能 打出 精彩,1,该评论使用了“精彩”这一积极词汇，表达了对佳能品牌或产品的赞赏和认可，整体情感倾向为正面。
5174236601123233,乡下来的千金,真的很不错,Thu Jun 05 19:30:02 +0800 2025,真的很不错,不错,1,"评论中使用了""很不错""这一明确的积极评价词汇，直接表达了对内容的认可和满意，整体情感倾向明显为正面。"
4983551530107912,榴莲饼干玥玥酱,哇哦真棒,Wed Dec 27 19:52:30 +0800 2023,哇哦真棒,真棒,1,"该评论使用了""哇哦""、""真棒""等感叹词和积极词汇，表达了强烈的惊喜和赞赏之情，整体情感倾向明显为正面。"
5174236601123233,京师大鹅,太棒了吧,Fri Jun 06 09:34:07 +0800 2025,太棒了吧,太棒了,1,评论中使用了“太棒了吧”这一强烈感叹句式，带有明显的兴奋和赞赏语气，表达了对事物的高度肯定和积极情感。
4983551530107912,纸片扩散法,好漂亮呀,Wed Dec 27 20:03:54 +0800 2023,好漂亮呀,漂亮,1,评论中使用了“好漂亮”这一明确的赞美性词汇，直接表达了欣赏和喜爱的积极情感，整体情感倾向清晰为正面。
5174236601123233,时北bei,这也太厉害了吧,Thu Jun 05 19:31:28 +0800 2025,这也太厉害了吧,厉害,1,评论中使用了“太厉害了吧”这样的感叹句式，表达了对某事物的强烈赞叹和认可，带有明显的积极情感色彩，整体情感倾向为正面。
4983551530107912,心有独钟嘛,好诶好诶[比耶][比耶],Wed Dec 27 19:58:17 +0800 2023,好诶好诶,,1,评论中重复使用“好诶”这一感叹词，表达出强烈的兴奋和喜悦情绪，属于典型的积极情感表达，整体情感倾向为正面。
5174236601123233,今夜沉溺ni,还能兑换大礼包，好酷,Thu Jun 05 19:30:43 +0800 2025,还能兑换大礼包 好酷,兑换 大礼包 好酷,1,评论中使用了“好酷”这一积极评价词汇，表达了对兑换大礼包这一行为的赞赏和兴奋之情，整体情感倾向明显为正面。
4983551530107912,荧里Chera,[抱一抱]好棒（柚子赞助我去吧！）,Wed Dec 27 13:27:12 +0800 2023,好棒 柚子赞助我去吧,好棒 柚子 赞助,1,评论中使用了“好棒”这一积极词汇表达赞赏，同时“赞助我去吧”带有期待和兴奋的语气，整体表达了支持与向往的正面情感。
4983551530107912,欧根er,哇哇哇[抱一抱],Wed Dec 27 19:13:37 +0800 2023,哇哇哇,哇哇,1,该评论使用了重复的感叹词“哇哇哇”，表达了强烈的惊喜和兴奋情绪，通常用于表达对某事物的喜爱或赞赏，整体情感倾向为正面。
4983551530107912,总BOSS折翼恶魔,也太好了吧,Wed Dec 27 21:11:14 +0800 2023,也太好了吧,太好了,1,评论中使用了“太好了”这一强烈积极词汇，配合语气词“吧”增强了赞叹和惊喜的情感表达，整体传递出明显的喜爱和满意情绪。
4983551530107912,楼一_,哇好棒,Wed Dec 27 20:32:51 +0800 2023,哇好棒,,1,评论中使用了“哇”和“好棒”等感叹词和积极词汇，直接表达了强烈的惊喜和赞赏之情，整体情感倾向明显为正面。
5174236601123233,爱你不逢时shi,不见不散,Thu Jun 05 19:30:18 +0800 2025,不见不散,不见不散,0,该评论仅包含“不见不散”这一约定性短语，未表达明确的情感态度，既无积极或消极词汇，也无具体评价内容，因此情感倾向为中性。
4983551530107912,查宝来帮忙,我是阮梅的（）,Wed Dec 27 15:10:45 +0800 2023,我是阮梅的,阮梅,1,该评论表达了用户对角色“阮梅”的强烈认同感和归属感，通过“我是阮梅的”这种带有归属和喜爱意味的表述，体现了积极的情感倾向，类似于粉丝的应援口号。
4983551530107912,氺货状元,来啦,Wed Dec 27 17:51:57 +0800 2023,来啦,,0,该评论仅表示“来啦”，是一种简单的打招呼或到场表达，没有明显的积极或消极情感色彩，属于中性陈述。
4983551530107912,靖墨影,好想去啊。。。,Wed Dec 27 18:46:17 +0800 2023,好想去啊,,1,评论中“好想去啊”表达了强烈的向往和期待情绪，使用“好想”这一积极词汇传递出对目标事物的喜爱和渴望，整体情感倾向为正面。
4983551530107912,Cerelia-W,真的很不错,Wed Dec 27 15:08:34 +0800 2023,真的很不错,不错,1,"评论使用了""很不错""这一明确的积极评价词汇，直接表达了对内容的肯定和赞赏，整体情感倾向清晰为正面。"
4983551530107912,菜与烧烤,哇一起,Wed Dec 27 17:31:04 +0800 2023,哇一起,一起,1,"评论使用了感叹词""哇""表达惊喜和兴奋，""一起""暗示了参与感或期待感，整体语气积极，体现了对活动或内容的喜爱和支持。"
4983551530107912,麻雀桑x,太棒啦[打call],Wed Dec 27 16:20:05 +0800 2023,太棒啦,太棒,1,该评论使用了“太棒啦”这一强烈积极的感叹词，直接表达了高度的喜悦和赞赏，情感倾向明确为正面。
4983551530107912,wan子源,很不错,Wed Dec 27 18:37:20 +0800 2023,很不错,不错,1,该评论使用了“很不错”这一明确的积极评价词汇，直接表达了对内容的肯定和满意，整体情感倾向为正面。
4983551530107912,芋头咩咩Psyche,好美,Wed Dec 27 14:54:31 +0800 2023,好美,好美,1,该评论使用了“好美”这一积极词汇，直接表达了对内容的赞美和喜爱，情感倾向明确为正面。
5204915211208615,三井茶浓,年轻人最爱,Fri Aug 29 10:30:06 +0800 2025,年轻人最爱,年轻人,1,评论中“最爱”一词表达了强烈的喜爱和偏好，属于积极情感词汇，整体传递出对年轻人的认可和赞赏，情感倾向明显为正面。
